Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS
Male,19.895877,1.80733,85.073801,yes,yes,2.801514,3.0,Sometimes,no,2.734782,no,2.207881,0.143675,Sometimes,Public_Transportation
Male,40.50021,1.748103,108.308112,yes,yes,2.317459,3.734323,Sometimes,no,1.0,no,1.628637,0.0,no,Automobile
Female,21.412434,1.675562,121.639178,yes,yes,3.0,3.0,Sometimes,no,1.484938,no,0.74225,0.604692,Sometimes,Public_Transportation
Female,18.0,1.71,75.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation
Female,26.0,1.641209,111.856492,yes,yes,3.0,3.0,Sometimes,no,2.621877,no,0.0,0.153669,Sometimes,Public_Transportation
Male,22.0,1.75,95.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,3.0,2.0,no,Walking
Female,37.356288,1.559499,77.26813,yes,yes,2.0,3.0,Sometimes,no,1.630528,no,0.0,0.0,Sometimes,Automobile
Female,38.0,1.56,80.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile
Male,25.01277,1.788586,117.849351,yes,yes,2.191108,2.993856,Sometimes,no,2.444917,no,1.055854,0.145284,Sometimes,Public_Transportation
Female,21.289104,1.708291,130.986338,yes,yes,3.0,3.0,Sometimes,no,1.205548,no,1.723934,0.952352,Sometimes,Public_Transportation
Male,34.389906,1.68108,83.568035,yes,yes,2.0,1.660768,Sometimes,no,2.482294,no,0.891205,0.0,no,Automobile
Female,18.0,1.498561,55.376512,no,yes,2.0,3.0,Sometimes,no,1.274718,yes,0.129902,0.978574,Sometimes,Public_Transportation
Male,26.0,1.83,82.0,no,yes,2.0,3.0,Always,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation
Male,29.0,1.641784,89.424947,yes,yes,1.3307,3.0,Sometimes,no,1.880967,no,0.322013,0.0,Sometimes,Automobile
Male,23.572648,1.698346,75.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.345684,1.415536,Sometimes,Public_Transportation
Female,17.764764,1.78656,50.0,no,yes,2.784464,4.0,Sometimes,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation
Female,26.0,1.643017,111.720238,yes,yes,3.0,3.0,Sometimes,no,2.632498,no,0.0,0.140792,Sometimes,Public_Transportation
Female,23.0,1.628168,84.49798,yes,yes,2.058687,2.962004,Sometimes,no,2.010596,no,0.851059,0.630866,no,Public_Transportation
Female,26.0,1.66,112.0,yes,no,3.0,3.0,Sometimes,no,3.0,no,0.0,0.0,no,Automobile
Male,24.982997,1.78968,118.436166,yes,yes,1.469384,2.996444,Sometimes,no,2.067741,no,1.082236,0.150544,Sometimes,Public_Transportation
Male,20.0,1.6,50.0,no,no,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation
Female,21.01245,1.747773,127.902844,yes,yes,3.0,3.0,Sometimes,no,1.705218,no,0.390937,0.998646,Sometimes,Public_Transportation
Female,18.741188,1.556789,71.788181,yes,no,3.0,3.129155,Sometimes,no,2.0,no,1.634134,1.0,no,Public_Transportation
Female,21.81119,1.6,66.401407,yes,yes,2.108711,3.0,Sometimes,no,2.746197,no,1.910432,0.0,Sometimes,Public_Transportation
Male,30.079371,1.810616,92.860254,yes,yes,2.0,3.0,Sometimes,no,1.622638,no,0.033745,0.105895,Sometimes,Public_Transportation
Female,22.307413,1.605495,82.528575,yes,yes,2.049112,2.622055,Sometimes,no,2.280555,no,2.052896,0.896185,no,Public_Transportation
Male,30.0,1.76,112.0,yes,yes,1.0,3.0,no,yes,2.0,yes,0.0,0.0,Frequently,Automobile
Male,30.551762,1.784377,102.872505,yes,yes,2.271306,3.0,Sometimes,no,1.771198,no,2.0,0.413752,Sometimes,Automobile
Female,40.466313,1.559005,77.601483,yes,yes,2.0,3.0,Sometimes,no,1.572371,no,0.0,0.0,Sometimes,Automobile
Female,25.834018,1.62456,110.10589,yes,yes,3.0,3.0,Sometimes,no,1.81786,no,0.011161,0.447224,Sometimes,Public_Transportation
Male,19.72925,1.793315,58.19515,yes,yes,2.508835,3.435905,Sometimes,no,2.076933,no,2.026668,1.443328,no,Automobile
Male,23.0,1.753716,106.49141,yes,yes,2.740633,3.0,Sometimes,no,2.081005,no,0.650235,0.76906,Sometimes,Public_Transportation
Male,18.0,1.717826,51.7325,yes,yes,1.133844,3.0,Sometimes,no,1.325326,no,0.227985,1.708309,Sometimes,Public_Transportation
Male,20.0,1.58,74.0,no,no,3.0,3.0,Frequently,no,2.0,no,3.0,1.0,Sometimes,Public_Transportation
Male,24.079971,1.61981,98.54302,yes,yes,2.95841,2.434347,Sometimes,no,1.0,no,1.930033,0.754023,no,Public_Transportation
Female,21.501721,1.809871,152.394739,yes,yes,3.0,3.0,Sometimes,no,2.351207,no,0.246831,0.91336,Sometimes,Public_Transportation
Female,20.0,1.66,60.0,yes,no,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Walking
Male,30.002029,1.759324,112.000381,yes,yes,1.572036,3.0,Sometimes,no,2.003563,no,0.0,0.340196,Sometimes,Automobile
Female,19.126145,1.633794,77.858532,yes,no,2.696381,3.0,Sometimes,no,2.472964,no,1.856119,1.0,Sometimes,Public_Transportation
Female,17.0,1.7,56.0,yes,yes,1.0,3.0,Sometimes,no,1.0,no,1.0,1.0,no,Automobile
Female,18.976968,1.759091,133.903612,yes,yes,3.0,3.0,Sometimes,no,2.862408,no,1.456933,0.742423,Sometimes,Public_Transportation
Female,37.631769,1.513202,75.410647,yes,yes,2.0,2.582591,Sometimes,no,1.535134,no,1.88452,0.0,Sometimes,Automobile
Female,20.327723,1.782714,154.618446,yes,yes,3.0,3.0,Sometimes,no,2.319559,no,1.97073,0.768375,Sometimes,Public_Transportation
Female,26.0,1.584782,105.055597,yes,yes,3.0,3.0,Sometimes,no,1.197667,no,0.0,0.534769,Sometimes,Public_Transportation
Male,25.426457,1.836592,118.377601,yes,yes,1.84199,3.0,Sometimes,no,2.503244,no,1.226019,0.078207,Sometimes,Public_Transportation
Male,18.424941,1.753389,54.121925,yes,yes,2.0,3.16645,Sometimes,no,2.278578,no,1.838881,2.0,Sometimes,Public_Transportation
Female,24.291205,1.71146,113.372851,yes,yes,3.0,3.0,Sometimes,no,2.796894,no,0.382189,0.16779,Sometimes,Public_Transportation
Female,25.561868,1.675185,110.621723,yes,yes,3.0,3.0,Sometimes,no,1.49583,no,0.109327,0.384129,Sometimes,Public_Transportation
Male,18.0,1.7,55.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation
Female,24.0,1.6,45.0,yes,no,2.0,3.0,no,no,2.0,no,1.0,0.0,no,Public_Transportation
Male,27.562425,1.908608,128.828122,yes,yes,2.206276,3.0,Sometimes,no,1.813082,no,1.94984,0.0,Sometimes,Public_Transportation
Female,25.907833,1.623113,102.555691,yes,yes,3.0,3.0,Sometimes,no,1.063422,no,0.051097,0.543118,Sometimes,Public_Transportation
Female,21.491055,1.586952,43.087508,no,no,2.00876,1.73762,Frequently,no,1.792022,no,0.119643,0.0,no,Public_Transportation
Male,21.052016,1.69382,99.530971,yes,yes,2.0,1.672751,Sometimes,no,2.0,no,0.0,1.946173,no,Public_Transportation
Male,21.872484,1.699998,95.564428,yes,yes,2.0,2.970675,Sometimes,no,2.0,no,0.0,0.169294,no,Public_Transportation
Female,37.063599,1.502609,75.279605,yes,yes,2.0,3.0,Sometimes,no,1.759803,no,0.0,0.0,Sometimes,Automobile
Female,27.0,1.55,63.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,Sometimes,Automobile
Male,30.702559,1.86198,126.418413,yes,yes,2.927187,3.0,Sometimes,no,1.508796,no,0.902776,1.015467,Sometimes,Public_Transportation
Male,17.0,1.8,58.0,no,yes,2.0,3.0,Frequently,no,2.0,no,2.0,1.0,no,Walking
Female,18.297229,1.637396,70.0,yes,yes,2.0,1.999014,Sometimes,no,2.326165,no,0.00705,0.0,no,Public_Transportation
Male,23.246702,1.652971,93.310284,yes,yes,1.368978,3.0,Sometimes,no,1.953152,no,0.104707,0.22183,no,Automobile
Male,18.0,1.750097,86.372141,yes,yes,2.907062,3.0,Sometimes,no,2.740848,no,1.219827,0.037634,Sometimes,Public_Transportation
Female,23.018443,1.584785,44.376637,no,no,2.204914,2.127797,Frequently,no,2.120292,no,0.995735,0.0,no,Public_Transportation
Male,23.881938,1.829971,121.04172,yes,yes,2.684335,2.711238,Sometimes,no,2.732331,no,1.156024,0.442456,Sometimes,Public_Transportation
Male,25.0,1.7,83.0,no,yes,3.0,3.0,Sometimes,no,3.0,yes,3.0,0.0,no,Motorbike
Male,33.789301,1.6811,102.523111,yes,yes,2.813775,2.372705,Sometimes,no,1.0,no,1.979355,0.0,no,Public_Transportation
Female,23.252457,1.589616,65.127324,no,yes,2.286146,2.961113,Sometimes,no,2.657303,no,1.91108,1.618227,Sometimes,Public_Transportation
Male,26.740655,1.863883,120.202596,yes,yes,2.247795,3.0,Sometimes,no,2.816015,no,0.712726,0.0,Sometimes,Public_Transportation
Male,26.490926,1.872517,120.898397,yes,yes,2.443538,3.0,Sometimes,no,2.939492,no,1.208142,0.738935,Sometimes,Public_Transportation
Female,25.999185,1.568543,102.000122,yes,yes,3.0,3.0,Sometimes,no,1.000544,no,0.001297,1.0,Sometimes,Public_Transportation
Female,34.231083,1.654067,79.697278,yes,yes,2.086898,1.818026,Sometimes,no,2.088929,no,0.305422,1.040787,no,Automobile
Female,26.0,1.634894,111.946321,yes,yes,3.0,3.0,Sometimes,no,2.737353,no,0.0,0.076094,Sometimes,Public_Transportation
Female,21.845025,1.613668,68.126955,yes,yes,1.758394,3.981997,Sometimes,no,2.174248,no,0.920476,1.358163,Sometimes,Public_Transportation
Female,17.08525,1.535618,57.259124,no,yes,1.972545,2.339614,Sometimes,no,1.711074,yes,0.095517,1.191053,Sometimes,Public_Transportation
Male,39.08886,1.75,119.029103,yes,yes,2.702457,3.0,Sometimes,no,2.005194,no,0.325313,0.419055,Sometimes,Automobile
Male,27.558801,1.801224,119.050381,yes,yes,2.744994,3.0,Sometimes,no,2.478838,no,0.684487,0.677909,Sometimes,Public_Transportation
Female,26.0,1.633887,111.878132,yes,yes,3.0,3.0,Sometimes,no,2.621976,no,0.0,0.123861,Sometimes,Public_Transportation
Male,23.0,1.68,60.0,no,no,2.0,4.0,Frequently,no,2.0,no,0.0,0.0,no,Walking
Female,19.035557,1.682594,127.427458,yes,yes,3.0,3.0,Sometimes,no,1.441289,no,1.425712,0.662277,Sometimes,Public_Transportation
Female,23.728707,1.663509,80.0,yes,yes,2.0,3.0,Sometimes,no,2.13755,no,0.0,0.124977,no,Public_Transportation
Female,18.91505,1.633316,45.0,no,yes,3.0,3.0,Sometimes,no,2.924594,yes,1.352558,0.220087,Sometimes,Public_Transportation
Male,21.962426,1.696336,75.0,yes,yes,2.0,3.0,Sometimes,no,1.825629,no,0.699592,0.142056,Sometimes,Public_Transportation
Male,29.0,1.62,89.0,yes,yes,1.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation
Male,33.0,1.76,66.5,no,no,2.0,3.0,Sometimes,no,2.0,no,3.0,1.0,Sometimes,Automobile
Male,32.895637,1.783901,103.771371,yes,yes,2.902469,1.734762,Sometimes,no,2.600238,no,2.113992,0.584755,Sometimes,Automobile
Male,22.661556,1.660324,94.189167,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.105936,no,Public_Transportation
Male,23.32012,1.705813,82.011962,yes,yes,2.784471,2.122545,Sometimes,no,2.984153,no,2.164472,0.203978,Sometimes,Public_Transportation
Male,19.684891,1.700627,78.048207,yes,no,1.653081,2.753418,Sometimes,no,2.192063,no,1.474937,0.518542,Sometimes,Public_Transportation
Female,26.0,1.656504,111.993054,yes,yes,3.0,3.0,Sometimes,no,2.893117,no,0.0,0.01931,Sometimes,Public_Transportation
Male,25.036269,1.874519,121.244969,yes,yes,2.630137,3.0,Sometimes,no,2.960088,no,1.356468,0.0,Sometimes,Public_Transportation
Female,40.993179,1.567756,79.493626,yes,yes,2.0,3.0,Sometimes,no,2.952506,no,0.0,0.0,no,Automobile
Male,25.0,1.78,98.0,yes,no,2.0,3.0,Sometimes,no,3.0,no,3.0,2.0,no,Public_Transportation
Male,22.906342,1.755902,120.021161,yes,yes,2.971574,2.80742,Sometimes,no,1.962646,no,1.583832,0.504816,Sometimes,Public_Transportation
Female,18.0,1.7,50.0,no,no,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Walking
Female,37.642177,1.676095,79.079738,yes,yes,2.802128,3.0,Sometimes,no,1.744628,no,0.0,0.721167,no,Automobile
Female,25.289428,1.686033,104.772164,yes,yes,3.0,3.0,Sometimes,no,1.299194,no,0.234303,0.946888,Sometimes,Public_Transportation
Female,26.0,1.627567,107.482662,yes,yes,3.0,3.0,Sometimes,no,2.687378,no,0.0,0.410651,Sometimes,Public_Transportation
Female,20.172661,1.605521,44.661461,no,no,3.0,2.893778,Frequently,no,1.0,yes,0.769726,0.0,Sometimes,Public_Transportation
Female,18.0,1.64,59.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation
Female,18.904037,1.743589,133.281333,yes,yes,3.0,3.0,Sometimes,no,2.684819,no,1.46525,0.804491,Sometimes,Public_Transportation
Male,30.796262,1.668478,100.543983,yes,yes,2.9553,2.378211,Sometimes,no,1.0,no,1.738267,0.394533,no,Public_Transportation
Female,20.941943,1.812963,138.730619,yes,yes,3.0,3.0,Sometimes,no,2.641489,no,0.481555,0.735201,Sometimes,Public_Transportation
Female,19.47219,1.793824,160.935351,yes,yes,3.0,3.0,Sometimes,no,2.069257,no,1.986646,0.947091,Sometimes,Public_Transportation
Male,23.245408,1.707968,75.383716,yes,yes,2.5621,3.105007,Sometimes,no,1.172427,no,0.184917,0.923082,Sometimes,Public_Transportation
Male,32.774488,1.913241,101.482054,yes,yes,2.0,2.110937,Sometimes,no,2.175632,no,1.0,0.0,Sometimes,Walking
Female,21.125098,1.767479,56.265959,yes,yes,2.371338,3.998766,Frequently,no,2.263466,no,2.0,0.844004,no,Public_Transportation
Female,18.826782,1.746416,133.747012,yes,yes,3.0,3.0,Sometimes,no,2.858389,no,1.444382,0.713823,Sometimes,Public_Transportation
Male,17.282945,1.821514,59.605028,yes,yes,2.613249,3.712183,Sometimes,no,2.0,no,2.002997,0.174848,no,Automobile
Male,19.47554,1.857231,88.138777,yes,yes,2.061952,4.0,Sometimes,no,2.426465,no,2.0,0.160138,Sometimes,Public_Transportation
Male,18.274358,1.824655,58.621349,yes,yes,2.14084,4.0,Sometimes,no,2.931438,no,2.0,1.164457,no,Automobile
Male,33.0816,1.705617,83.016968,yes,yes,2.0,2.7976,Sometimes,no,2.991671,no,2.148738,0.0,no,Automobile
Female,21.274628,1.737453,50.479039,yes,yes,3.0,3.489918,Frequently,no,1.326694,no,0.791929,0.128394,no,Public_Transportation
Female,25.96701,1.654875,104.758713,yes,yes,3.0,3.0,Sometimes,no,2.612758,no,0.24629,0.802136,Sometimes,Public_Transportation
Female,20.519916,1.725548,49.815599,yes,no,2.890535,3.90779,Frequently,no,1.109115,no,1.548953,0.555468,no,Public_Transportation
Female,24.063874,1.737313,133.166595,yes,yes,3.0,3.0,Sometimes,no,2.846259,no,1.295759,0.723154,Sometimes,Public_Transportation
Male,19.0,1.85,115.0,no,no,2.0,3.0,Sometimes,no,3.0,yes,1.0,2.0,no,Public_Transportation
Male,31.264628,1.803129,91.052215,yes,yes,2.0,3.0,Sometimes,no,1.199517,no,0.047738,0.163329,Sometimes,Public_Transportation
Female,25.472995,1.688911,78.434492,yes,yes,2.182401,2.832018,Sometimes,no,2.456939,no,0.038809,0.524015,Frequently,Public_Transportation
Male,39.759575,1.792507,101.780099,yes,yes,2.33361,2.113575,Sometimes,no,2.504136,no,2.998981,1.0,Sometimes,Automobile
Male,21.856301,1.87199,115.627554,yes,yes,2.0,2.358455,Sometimes,no,2.515765,no,0.98232,1.157466,Sometimes,Public_Transportation
Male,19.0,1.8,87.0,yes,yes,2.0,4.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation
Male,22.758998,1.859717,121.284533,yes,yes,2.654076,2.574108,Sometimes,no,1.78471,no,1.170537,0.0,Sometimes,Public_Transportation
Female,26.0,1.56,102.0,yes,yes,3.0,3.0,Sometimes,yes,1.0,no,0.0,1.0,Sometimes,Public_Transportation
Male,30.421596,1.819296,122.137917,yes,yes,2.0,3.0,Sometimes,no,1.984323,no,0.793262,0.0,Sometimes,Public_Transportation
Male,19.515324,1.879144,112.932984,yes,yes,2.0,2.152733,Sometimes,no,2.53369,no,0.917563,1.285838,Sometimes,Public_Transportation
Female,21.413498,1.7199,133.886031,yes,yes,3.0,3.0,Sometimes,no,2.41752,no,1.556155,0.873936,Sometimes,Public_Transportation
Female,26.0,1.643355,111.600553,yes,yes,3.0,3.0,Sometimes,no,2.652616,no,0.0,0.250502,Sometimes,Public_Transportation
Male,21.379676,1.701413,96.710735,yes,yes,2.0,2.961192,Sometimes,no,2.623344,no,0.981686,1.35537,no,Public_Transportation
Female,21.210732,1.716497,130.871127,yes,yes,3.0,3.0,Sometimes,no,1.301657,no,1.718543,0.947884,Sometimes,Public_Transportation
Female,19.726522,1.508267,61.10403,no,yes,2.778079,3.0,Sometimes,no,1.696691,yes,0.94224,0.879925,Sometimes,Public_Transportation
Female,34.176795,1.681021,77.392179,yes,yes,2.79606,1.971472,Sometimes,no,1.921601,no,0.935217,0.704637,no,Automobile
Female,21.391371,1.730636,131.902591,yes,yes,3.0,3.0,Sometimes,no,1.419136,no,1.700889,0.930888,Sometimes,Public_Transportation
Female,33.864257,1.679299,77.355417,yes,yes,2.76802,2.137068,Sometimes,no,1.873591,no,0.966973,0.691944,no,Automobile
Male,23.0,1.715118,81.650778,yes,yes,2.0,1.976744,Sometimes,no,1.628997,no,0.880584,1.127675,Sometimes,Public_Transportation
Female,24.284833,1.650726,113.774198,yes,yes,3.0,3.0,Sometimes,no,2.75137,no,0.324913,0.516764,Sometimes,Public_Transportation
Female,20.206358,1.738397,93.890682,yes,yes,1.996638,3.0,Sometimes,no,1.033199,no,0.584793,0.518297,Sometimes,Public_Transportation
Male,25.920738,1.823755,105.800158,yes,yes,2.92711,3.0,Sometimes,no,2.151496,no,1.166064,1.509831,Sometimes,Public_Transportation
Female,35.194089,1.673482,73.193589,yes,no,3.0,2.809716,Sometimes,no,1.591425,no,0.178023,0.0,Sometimes,Automobile
Male,19.0,1.69,65.0,no,yes,2.0,3.0,Frequently,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation
Male,30.520854,1.784049,120.644178,yes,yes,2.499108,3.0,Sometimes,no,2.040952,no,0.838739,0.489854,Sometimes,Automobile
Male,18.0,1.753349,51.457226,no,yes,2.823179,3.0,Sometimes,no,1.773236,no,1.252472,1.0,Sometimes,Public_Transportation
Female,25.565662,1.642392,104.988082,yes,yes,3.0,3.0,Sometimes,no,1.204055,no,0.094851,0.603736,Sometimes,Public_Transportation
Female,22.176922,1.71746,51.491957,yes,yes,2.486189,3.0,Frequently,no,1.064378,no,2.206055,1.958089,no,Public_Transportation
Female,38.378056,1.67805,77.224574,yes,yes,2.444599,3.0,Sometimes,no,1.029798,no,0.0,0.0,no,Automobile
Female,22.547298,1.722461,51.881263,yes,yes,2.663421,3.0,Frequently,no,1.04111,no,0.794402,1.391948,no,Public_Transportation
Male,18.729566,1.855433,112.875283,yes,yes,2.0,2.427137,Sometimes,no,2.574073,no,1.0,2.0,Sometimes,Public_Transportation
Female,41.0,1.54,80.0,yes,yes,2.0,3.0,Always,no,1.0,no,0.0,0.0,Sometimes,Automobile
Male,18.0,1.7108,50.92538,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.593704,Sometimes,Public_Transportation
Male,21.0,1.693628,75.0,yes,yes,2.0,3.0,Sometimes,no,1.833055,no,1.0,0.0,Sometimes,Public_Transportation
Male,25.542454,1.763215,115.10813,yes,yes,2.21965,3.0,Sometimes,no,2.165408,no,1.315045,0.688985,Sometimes,Public_Transportation
Female,37.496175,1.653088,80.0,yes,yes,2.033745,3.0,Sometimes,no,1.517225,no,0.0,1.517897,no,Automobile
Male,30.958051,1.906821,128.856677,yes,yes,2.633855,3.0,Sometimes,no,1.619305,no,1.847802,0.424612,Sometimes,Public_Transportation
